Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Corynebacterium marinum DSM 44953		strain: DSM 44953	1224162	ASM83516v1	GCF_000835165.1	RefSeq	GCF_000835165.1-RS_2024_04_26	Complete Genome	2607268	2729219	2015-02-10	2624	PRJNA172963	SAMN02800399
Corynebacterium camporealensis		strain: DSM 44610	161896	ASM98081v1	GCF_000980815.1	RefSeq	GCF_000980815.1-RS_2024_12_11	Complete Genome	2451810	2451810	2015-04-24	2312	PRJNA276036	SAMN03365263
Corynebacterium kutscheri		strain: DSM 20755	35755	ASM98083v1	GCF_000980835.1	RefSeq	GCF_000980835.1-RS_2024_12_11	Complete Genome	2354065	2354065	2015-04-24	2144	PRJNA276037	SAMN03365283
Corynebacterium mustelae		strain: DSM 45274	571915	ASM102098v1	GCF_001020985.1	RefSeq	GCF_001020985.1-RS_2024_12_11	Complete Genome	3391554	3474226	2015-06-05	3157	PRJNA282348	SAMN03568800
Corynebacterium epidermidicanis		strain: DSM 45586	1050174	ASM102102v1	GCF_001021025.1	RefSeq	GCF_001021025.1-RS_2024_12_11	Complete Genome	2692072	2692072	2015-06-05	2501	PRJNA280479	SAMN03462986
Corynebacterium testudinoris		strain: DSM 44614	136857	ASM102104v1	GCF_001021045.1	RefSeq	GCF_001021045.1-RS_2024_12_11	Complete Genome	2721226	2721226	2015-06-05	2617	PRJNA280910	SAMN03480629
Corynebacterium uterequi		strain: DSM 45634	1072256	ASM102106v1	GCF_001021065.1	RefSeq	GCF_001021065.1-RS_2024_12_11	Complete Genome	2419437	2419437	2015-06-05	2240	PRJNA280912	SAMN03480647
Corynebacterium lactis RW2-5		strain: RW2-5	1408189	ASM127489v1	GCF_001274895.1	RefSeq	GCF_001274895.1-RS_2024_05_02	Complete Genome	2769745	2769745	2015-08-26	2493	PRJNA222474	SAMN04012704
Corynebacterium deserti GIMN1.010		strain: GIMN1.010	931089	ASM127799v1	GCF_001277995.1	RefSeq	GCF_001277995.1-RS_2024_12_11	Complete Genome	2972149	3033893	2015-09-02	2866	PRJNA222609	SAMN02950576
Corynebacterium diphtheriae		strain: NCTC11397	1717	NCTC11397	GCF_001457455.1	RefSeq	GCF_001457455.1-RS_2025_03_30	Complete Genome	2463666	2463666	2015-03-22	2381	PRJEB6403	SAMEA2517360
Corynebacterium simulans		strain: Wattiau	146827	ASM158623v1	GCF_001586235.1	RefSeq	GCF_001586235.1-RS_2024_06_10	Complete Genome	2598702	2598702	2016-03-10	2444	PRJNA309522	SAMN04435330
Corynebacterium crudilactis		strain: JZ16	1652495	ASM164301v1	GCF_001643015.1	RefSeq	GCF_001643015.1-RS_2024_05_02	Complete Genome	3047373	3217288	2016-05-13	2967	PRJNA321311	SAMN04990137
Corynebacterium stationis		strain: 622=DSM 20302	1705	ASM194134v1	GCF_001941345.1	RefSeq	GCF_001941345.1-RS_2025_03_12	Complete Genome	2808767	2862233	2017-01-10	2672	PRJNA242207	SAMN02996501
Corynebacterium ammoniagenes DSM 20306		strain: DSM 20306 = 9.6	649754	ASM194142v1	GCF_001941425.1	RefSeq	GCF_001941425.1-RS_2025_03_28	Complete Genome	2790185	2790185	2017-01-10	2552	PRJNA242361	SAMN02996495
Corynebacterium aquilae DSM 44791		strain: S-613	1431546	ASM194144v1	GCF_001941445.1	RefSeq	GCF_001941445.1-RS_2024_05_03	Complete Genome	2926437	2926437	2017-01-10	2474	PRJNA230273	SAMN02996496
Corynebacterium flavescens		strain: OJ8	28028	ASM194146v1	GCF_001941465.1	RefSeq	GCF_001941465.1-RS_2024_07_15	Complete Genome	2758653	2758653	2017-01-10	2557	PRJNA242338	SAMN02996497
Corynebacterium frankenforstense DSM 45800		strain: ST18	1437875	ASM194148v1	GCF_001941485.1	RefSeq	GCF_001941485.1-RS_2024_05_03	Complete Genome	2604152	2604152	2017-01-10	2263	PRJNA232093	SAMN02991553
Corynebacterium sphenisci DSM 44792		strain: DSM 44792	1437874	ASM194150v1	GCF_001941505.1	RefSeq	GCF_001941505.1-RS_2024_05_03	Complete Genome	2594799	2594799	2017-01-10	2359	PRJNA232092	SAMN02996499
Corynebacterium phocae		strain: M408/89/1	161895	ASM194156v1	GCF_001941565.1	RefSeq	GCF_001941565.1-RS_2024_05_03	Complete Genome	2779609	2791883	2017-01-10	2506	PRJNA242582	SAMN02996498
Corynebacterium pseudotuberculosis		strain: ATCC 19410	1719	ASM215526v1	GCF_002155265.1	RefSeq	GCF_002155265.1-RS_2024_08_23	Complete Genome	2337763	2337763	2017-05-22	2123	PRJNA382169	SAMN06701041
Corynebacterium silvaticum		strain: PO100/5	2320431	ASM216211v2	GCF_002162115.2	RefSeq	GCF_002162115.2-RS_2025_03_28	Complete Genome	2572864	2572864	2023-02-13	2455	PRJNA386599	SAMN07109093
Corynebacterium suranareeae		strain: N24	2506452	ASM235515v1	GCF_002355155.1	RefSeq	GCF_002355155.1-RS_2024_12_13	Complete Genome	3537507	3537507	2016-05-03	3200	PRJDB1734	SAMD00000552
Corynebacterium yudongzhengii		strain: 2183	2080740	ASM306540v1	GCF_003065405.1	RefSeq	GCF_003065405.1-RS_2024_04_12	Complete Genome	2511302	2511302	2018-04-23	2343	PRJNA431327	SAMN08388720
Corynebacterium liangguodongii		strain: 2184	2079535	ASM307086v1	GCF_003070865.1	RefSeq	GCF_003070865.1-RS_2024_04_22	Complete Genome	2357924	2357924	2018-04-24	2269	PRJNA431327	SAMN08388739
Corynebacterium choanae		strain: 200CH	1862358	ASM381396v1	GCF_003813965.1	RefSeq	GCF_003813965.1-RS_2024_05_04	Complete Genome	2986773	2986773	2018-11-22	2152	PRJNA432431	SAMN08448940
Corynebacterium gerontici		strain: W8	2079234	ASM381398v1	GCF_003813985.1	RefSeq	GCF_003813985.1-RS_2024_05_04	Complete Genome	2263210	2263210	2018-11-22	2136	PRJNA432426	SAMN08448852
Corynebacterium pseudopelargi		strain: 812CH	2080757	ASM381400v1	GCF_003814005.1	RefSeq	GCF_003814005.1-RS_2024_05_04	Complete Genome	2345052	2348160	2018-11-22	2226	PRJNA432441	SAMN08449372
Corynebacterium pelargi		strain: 136/3	1471400	ASM411489v1	GCF_004114895.1	RefSeq	GCF_004114895.1-RS_2025_04_03	Complete Genome	2370062	2370062	2019-01-28	2209	PRJNA354164	SAMN06041739
Corynebacterium endometrii		strain: LMM-1653	2488819	ASM479573v1	GCF_004795735.1	RefSeq	GCF_004795735.1-RS_2024_05_04	Complete Genome	2477061	2477061	2019-04-16	2225	PRJNA531372	SAMN11357123
Corynebacterium sanguinis		strain: CCUG 58655	2594913	ASM764123v1	GCF_007641235.1	RefSeq	GCF_007641235.1-RS_2024_05_04	Complete Genome	2362885	2362885	2019-07-30	2296	PRJNA305687	SAMN10573883
Corynebacterium nuruki S6-4		strain: S6-4	863239	ASM797046v1	GCF_007970465.1	RefSeq	GCF_007970465.1-RS_2025_03_29	Complete Genome	3173955	3173955	2019-08-12	2894	PRJNA558581	SAMN12496158
Corynebacterium urogenitale		strain: LMM-1652	2487892	ASM902682v1	GCF_009026825.1	RefSeq	GCF_009026825.1-RS_2024_12_11	Complete Genome	2351892	2351892	2019-10-16	2093	PRJNA576114	SAMN12924940
Corynebacterium kalinowskii		strain: 1959	2675216	ASM973438v1	GCF_009734385.1	RefSeq	GCF_009734385.1-RS_2024_12_09	Complete Genome	2510218	2510218	2019-12-09	2446	PRJNA589600	SAMN13284568
Corynebacterium comes		strain: 2019	2675218	ASM973440v1	GCF_009734405.1	RefSeq	GCF_009734405.1-RS_2024_12_11	Complete Genome	2803752	2887268	2019-12-09	2757	PRJNA589602	SAMN13284570
Corynebacterium occultum		strain: 2039	2675219	ASM973442v1	GCF_009734425.1	RefSeq	GCF_009734425.1-RS_2024_12_11	Complete Genome	3109186	3218058	2019-12-09	2928	PRJNA589605	SAMN13284899
Corynebacterium qintianiae		strain: MC1420	2709392	ASM1103864v2	GCF_011038645.2	RefSeq	GCF_011038645.2-RS_2024_05_21	Complete Genome	2202436	2218231	2020-12-04	2167	PRJNA606148	SAMN14086271
Corynebacterium lizhenjunii		strain: ZJ-599	2709394	ASM1103865v2	GCF_011038655.2	RefSeq	GCF_011038655.2-RS_2024_04_27	Complete Genome	2607882	2607882	2020-12-04	2374	PRJNA606153	SAMN14086344
Corynebacterium anserum		strain: 23H37-10	2684406	ASM1426266v1	GCF_014262665.1	RefSeq	GCF_014262665.1-RS_2024_05_05	Complete Genome	2208656	2208656	2020-08-21	1866	PRJNA595090	SAMN13546099
Corynebacterium lujinxingii		strain: zg-917	2763010	ASM1449055v1	GCF_014490555.1	RefSeq	GCF_014490555.1-RS_2024_12_11	Complete Genome	2338496	2338496	2020-09-08	2294	PRJNA660533	SAMN15951546
Corynebacterium zhongnanshanii		strain: zg-320	2768834	ASM1449057v1	GCF_014490575.1	RefSeq	GCF_014490575.1-RS_2024_04_27	Complete Genome	2206897	2206897	2020-09-08	1980	PRJNA660532	SAMN15951547
Corynebacterium poyangense		strain: 4H37-19	2684405	ASM1452220v1	GCF_014522205.1	RefSeq	GCF_014522205.1-RS_2024_10_23	Complete Genome	2617997	2617997	2020-09-10	2493	PRJNA595096	SAMN13546111
Corynebacterium kefirresidentii		strain: FDAARGOS_1055	1979527	ASM1659975v1	GCF_016599755.1	RefSeq	GCF_016599755.1-RS_2024_06_10	Complete Genome	2470582	2523206	2021-01-11	2389	PRJNA231221	SAMN16357224
Corynebacterium striatum		strain: FDAARGOS_1115	43770	ASM1672810v1	GCF_016728105.1	RefSeq	GCF_016728105.1-RS_2024_12_09	Complete Genome	2904831	2904831	2021-01-20	2742	PRJNA231221	SAMN16357284
Corynebacterium tuberculostearicum		strain: FDAARGOS_1117	38304	ASM1672836v1	GCF_016728365.1	RefSeq	GCF_016728365.1-RS_2024_12_11	Complete Genome	2451854	2451854	2021-01-20	2333	PRJNA231221	SAMN16357286
Corynebacterium propinquum		strain: FDAARGOS_1112	43769	ASM1672866v1	GCF_016728665.1	RefSeq	GCF_016728665.1-RS_2024_12_11	Complete Genome	2480127	2480127	2021-01-20	2237	PRJNA231221	SAMN16357281
Corynebacterium amycolatum		strain: FDAARGOS_1189	43765	ASM1688942v1	GCF_016889425.1	RefSeq	GCF_016889425.1-RS_2025_03_29	Complete Genome	2474943	2474943	2021-02-15	2175	PRJNA231221	SAMN16357331
Corynebacterium macginleyi		strain: FDAARGOS_1195	38290	ASM1688946v1	GCF_016889465.1	RefSeq	GCF_016889465.1-RS_2025_03_28	Complete Genome	2493537	2493537	2021-02-15	2434	PRJNA231221	SAMN16357337
Corynebacterium freneyi		strain: FDAARGOS 1426	134034	ASM1904780v1	GCF_019047805.1	RefSeq	GCF_019047805.1-RS_2024_05_06	Complete Genome	2881812	2881812	2021-06-28	2566	PRJNA231221	SAMN16357568
Corynebacterium coyleae		strain: FDAARGOS 1425	53374	ASM1904816v1	GCF_019048165.1	RefSeq	GCF_019048165.1-RS_2024_07_20	Complete Genome	2510261	2510261	2021-06-28	2427	PRJNA231221	SAMN16357567
Corynebacterium falsenii		strain: FDAARGOS_1494	108486	ASM2009927v1	GCF_020099275.1	RefSeq	GCF_020099275.1-RS_2024_11_06	Complete Genome	2677377	2677377	2021-09-23	2349	PRJNA231221	SAMN21218850
Corynebacterium uberis		strain: 18M0132	2883169	ASM2061633v1	GCF_020616335.1	RefSeq	GCF_020616335.1-RS_2024_05_18	Complete Genome	2533318	2533318	2021-10-26	2293	PRJNA769678	SAMN22160853
Corynebacterium accolens		strain: DSM 44278	38284	ASM2352079v1	GCF_023520795.1	RefSeq	GCF_023520795.1-RS_2024_05_27	Complete Genome	2465625	2465625	2022-05-23	2327	PRJNA453400	SAMN13404507
Corynebacterium pseudogenitalium		strain: CCUG 27540	38303	ASM2445381v1	GCF_024453815.1	RefSeq	GCF_024453815.1-RS_2025_03_09	Complete Genome	2389603	2389603	2022-07-27	2247	PRJNA305687	SAMN18647611
Corynebacterium genitalium ATCC 33030		strain: CCUG 38989	585529	ASM2445383v1	GCF_024453835.1	RefSeq	GCF_024453835.1-RS_2024_12_13	Complete Genome	2337040	2337040	2022-07-27	2257	PRJNA305687	SAMN18647610
Corynebacterium massiliense DSM 45435		strain: DSM 45435	1121364	ASM2860980v1	GCF_028609805.1	RefSeq	GCF_028609805.1-RS_2025_03_24	Complete Genome	2237865	2237865	2023-02-13	2061	PRJNA532615	SAMN13404539
Corynebacterium ihumii		strain: DSM 45751	1232427	ASM2860982v1	GCF_028609825.1	RefSeq	GCF_028609825.1-RS_2025_03_24	Complete Genome	2279521	2279521	2023-02-13	2207	PRJNA454382	SAMN13404531
Corynebacterium heidelbergense		strain: DSM 104638	2055947	ASM2860984v1	GCF_028609845.1	RefSeq	GCF_028609845.1-RS_2025_03_24	Complete Genome	2313070	2329978	2023-02-13	2105	PRJNA516107	SAMN13404530
Corynebacterium jeddahense		strain: DSM 45997	1414719	ASM2860986v1	GCF_028609865.1	RefSeq	GCF_028609865.1-RS_2025_03_24	Complete Genome	2567696	2567696	2023-02-13	2462	PRJNA454389	SAMN13404532
Corynebacterium jeikeium		strain: DSM 7171	38289	ASM2860988v1	GCF_028609885.1	RefSeq	GCF_028609885.1-RS_2025_03_24	Complete Genome	2524840	2524840	2023-02-13	2268	PRJNA532605	SAMN13404533
Corynebacterium breve		strain: R4	3049799	ASM3025216v1	GCF_030252165.1	RefSeq	GCF_030252165.1-RS_2024_06_10	Complete Genome	2567397	2567397	2023-06-11	2461	PRJNA976121	SAMN35359913
Corynebacterium suedekumii		strain: LM112	3049801	ASM3025218v1	GCF_030252185.1	RefSeq	GCF_030252185.1-RS_2024_06_10	Complete Genome	2858263	2858263	2023-06-11	2840	PRJNA976121	SAMN35359912
Corynebacterium afermentans subsp. lipophilum		strain: DSM 44282	144184	ASM3040837v1	GCF_030408375.1	RefSeq	GCF_030408375.1-RS_2024_07_07	Complete Genome	2353801	2353801	2023-07-05	2249	PRJNA417152	SAMN07977612
Corynebacterium aquatimens		strain: DSM 45632	1190508	ASM3040839v1	GCF_030408395.1	RefSeq	GCF_030408395.1-RS_2024_07_07	Complete Genome	2524396	2524396	2023-07-05	2247	PRJNA453407	SAMN13404508
Corynebacterium appendicis CIP 107643		strain: CIP 107643	1161099	ASM3040841v1	GCF_030408415.1	RefSeq	GCF_030408415.1-RS_2024_07_07	Complete Genome	2284440	2284440	2023-07-05	2238	PRJNA290985	SAMN03938400
Corynebacterium auriscanis		strain: DSM 44609	99807	ASM3040843v1	GCF_030408435.1	RefSeq	GCF_030408435.1-RS_2024_07_07	Complete Genome	2599172	2599172	2023-07-05	2206	PRJNA422036	SAMN13404511
Corynebacterium atrinae		strain: JCM 19266	1336740	ASM3040845v1	GCF_030408455.1	RefSeq	GCF_030408455.1-RS_2024_07_07	Complete Genome	2721150	2809195	2023-07-05	2718	PRJNA454019	SAMN13404509
Corynebacterium auris		strain: DSM 44122	44750	ASM3040857v1	GCF_030408575.1	RefSeq	GCF_030408575.1-RS_2024_07_07	Complete Genome	2439611	2439611	2023-07-05	2329	PRJNA354155	SAMN06041730
Corynebacterium canis		strain: DSM 45402	679663	ASM3040859v1	GCF_030408595.1	RefSeq	GCF_030408595.1-RS_2024_07_07	Complete Genome	3045310	3045310	2023-07-05	2715	PRJNA454028	SAMN13404513
Corynebacterium durum		strain: DSM 45333	61592	ASM3040867v1	GCF_030408675.1	RefSeq	GCF_030408675.1-RS_2024_07_07	Complete Genome	2786863	2786863	2023-07-05	2586	PRJNA289546	SAMN03854665
Corynebacterium confusum		strain: DSM 44384	71254	ASM3040871v1	GCF_030408715.1	RefSeq	GCF_030408715.1-RS_2024_07_07	Complete Genome	2479845	2485332	2023-07-05	2301	PRJNA433405	SAMN13404517
Corynebacterium faecale		strain: DSM 45971	1758466	ASM3040873v1	GCF_030408735.1	RefSeq	GCF_030408735.1-RS_2024_07_07	Complete Genome	2987260	3147058	2023-07-05	2860	PRJNA454078	SAMN13404520
Corynebacterium felinum		strain: DSM 44508	131318	ASM3040875v1	GCF_030408755.1	RefSeq	GCF_030408755.1-RS_2024_07_07	Complete Genome	3236025	3236025	2023-07-05	2732	PRJNA451207	SAMN08964566
Corynebacterium fournieri		strain: DSM 103271	1852390	ASM3040877v1	GCF_030408775.1	RefSeq	GCF_030408775.1-RS_2024_07_07	Complete Genome	2389603	2389603	2023-07-05	2273	PRJNA454101	SAMN13404521
Corynebacterium hansenii		strain: DSM 45109	394964	ASM3040879v1	GCF_030408795.1	RefSeq	GCF_030408795.1-RS_2024_07_07	Complete Genome	3098017	3098017	2023-07-05	2736	PRJNA354159	SAMN06041734
Corynebacterium freiburgense		strain: DSM 45254	556548	ASM3040881v1	GCF_030408815.1	RefSeq	GCF_030408815.1-RS_2024_07_07	Complete Genome	2948328	2962293	2023-07-05	2680	PRJNA454102	SAMN13404522
Corynebacterium glaucum		strain: DSM 44530	187491	ASM3040885v1	GCF_030408855.1	RefSeq	GCF_030408855.1-RS_2024_07_07	Complete Genome	2529320	2529320	2023-07-05	2440	PRJNA354158	SAMN06041733
Corynebacterium gottingense		strain: DSM 108986	2041036	ASM3040887v1	GCF_030408875.1	RefSeq	GCF_030408875.1-RS_2024_07_07	Complete Genome	2612809	2612809	2023-07-05	2421	PRJNA515398	SAMN13404526
Corynebacterium guangdongense		strain: DSM 107476	1783348	ASM3040891v1	GCF_030408915.1	RefSeq	GCF_030408915.1-RS_2024_07_07	Complete Genome	2806781	2806781	2023-07-05	2635	PRJNA516106	SAMN13404528
Corynebacterium capitovis DSM 44611		strain: DSM 44611	1121354	ASM3044053v1	GCF_030440535.1	RefSeq	GCF_030440535.1-RS_2024_07_13	Complete Genome	1979952	1979952	2023-07-12	1924	PRJNA454027	SAMN13404514
Corynebacterium caspium DSM 44850		strain: DSM 44850	1121355	ASM3044055v1	GCF_030440555.1	RefSeq	GCF_030440555.1-RS_2024_07_13	Complete Genome	1863130	1863130	2023-07-12	1691	PRJNA454031	SAMN13404515
Corynebacterium ciconiae DSM 44920		strain: DSM 44920	1121356	ASM3044057v1	GCF_030440575.1	RefSeq	GCF_030440575.1-RS_2024_07_13	Complete Genome	2584365	2584365	2023-07-12	2278	PRJNA454032	SAMN13404516
Corynebacterium glucuronolyticum DSM 44120		strain: DSM 44120	1121361	ASM3044059v1	GCF_030440595.1	RefSeq	GCF_030440595.1-RS_2024_07_13	Complete Genome	2866769	2866769	2023-07-12	2613	PRJNA454158	SAMN13404524
Corynebacterium pseudokroppenstedtii		strain: P15_C1	2804917	ASM3048668v2	GCF_030486685.2	RefSeq	GCF_030486685.2-RS_2025_01_26	Complete Genome	2512499	2512499	2024-01-25	2181	PRJNA991496	SAMN36295140
Corynebacterium hesseae		strain: 10VPs_Sm8	2913502	ASM3785026v1	GCF_037850265.1	RefSeq	GCF_037850265.1-RS_2024_04_21	Complete Genome	2752657	2752657	2024-04-05	2569	PRJNA1028639	SAMN37848894
Corynebacterium mayonis		strain: BD556	3062461	ASM3845227v1	GCF_038452275.1	RefSeq	GCF_038452275.1-RS_2024_04_25	Complete Genome	2349779	2349779	2024-04-26	2217	PRJNA1052121	SAMN38815042
Corynebacterium belfantii		strain: PC1365	2014537	ASM4189818v1	GCF_041898185.1	RefSeq	GCF_041898185.1-RS_2024_12_22	Complete Genome	2834287	2834287	2024-09-12	2799	PRJNA541849	SAMN41586299
Corynebacterium imitans		strain: NCTC13015	156978	52295_D01	GCF_900187215.1	RefSeq	GCF_900187215.1-RS_2024_12_11	Complete Genome	2565606	2565606	2017-08-15	2432	PRJEB6403	SAMEA4535761
Corynebacterium urealyticum		strain: NCTC12011	43771	52184_D01	GCF_900187235.1	RefSeq	GCF_900187235.1-RS_2024_12_11	Complete Genome	2377532	2377532	2017-08-15	2075	PRJEB6403	SAMEA4530651
Corynebacterium cystitidis		strain: NCTC11863	35757	52191_E01	GCF_900187295.1	RefSeq	GCF_900187295.1-RS_2024_12_13	Complete Genome	3011567	3011567	2017-08-15	2848	PRJEB6403	SAMEA4530656
Corynebacterium renale		strain: NCTC7448	1724	47555_E02	GCF_900478035.1	RefSeq	GCF_900478035.1-RS_2024_12_13	Complete Genome	2335089	2335089	2018-06-17	2205	PRJEB6403	SAMEA4030736
Corynebacterium minutissimum		strain: NCTC10288	38301	47555_C02	GCF_900478045.1	RefSeq	GCF_900478045.1-RS_2024_12_11	Complete Genome	2695970	2695970	2018-06-17	2505	PRJEB6403	SAMEA4030732
Corynebacterium rouxii		strain: FRC0190	2719119	FRC0190	GCF_902702935.1	RefSeq	GCF_902702935.1-RS_2024_12_13	Complete Genome	2451019	2451019	2019-11-25	2388	PRJEB22103	SAMEA5992727
