Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Mycobacterium saskatchewanense		strain: JCM 13016	220927	ASM1072910v1	GCF_010729105.1	RefSeq	GCF_010729105.1-RS_2024_12_13	Complete Genome	6008916	6008916	2020-02-06	5721	PRJDB7717	SAMD00153183
Mycobacterium shinjukuense		strain: JCM 14233	398694	ASM1073005v1	GCF_010730055.1	RefSeq	GCF_010730055.1-RS_2024_12_16	Complete Genome	4504020	4504020	2020-02-06	4127	PRJDB7717	SAMD00153190
Mycobacterium conspicuum		strain: JCM 14738	44010	ASM1073019v1	GCF_010730195.1	RefSeq	GCF_010730195.1-RS_2024_12_16	Complete Genome	6237139	6237139	2020-02-06	5774	PRJDB7717	SAMD00153191
Mycobacterium florentinum		strain: JCM 14740	292462	ASM1073035v1	GCF_010730355.1	RefSeq	GCF_010730355.1-RS_2024_12_13	Complete Genome	6219859	6219859	2020-02-06	5927	PRJDB7717	SAMD00153192
Mycobacterium parmense		strain: JCM 14742	185642	ASM1073057v1	GCF_010730575.1	RefSeq	GCF_010730575.1-RS_2024_12_13	Complete Genome	5952912	5952912	2020-02-06	5573	PRJDB7717	SAMD00153193
Mycobacterium heidelbergense		strain: JCM 14842	53376	ASM1073074v1	GCF_010730745.1	RefSeq	GCF_010730745.1-RS_2024_12_13	Complete Genome	5050576	5050576	2020-02-06	4720	PRJDB7717	SAMD00153194
Mycobacterium lacus		strain: JCM 15657	169765	ASM1073153v1	GCF_010731535.1	RefSeq	GCF_010731535.1-RS_2024_12_16	Complete Genome	5092988	5092988	2020-02-06	4791	PRJDB7717	SAMD00153198
Mycobacterium seoulense		strain: JCM 16018	386911	ASM1073159v1	GCF_010731595.1	RefSeq	GCF_010731595.1-RS_2024_12_13	Complete Genome	5531300	5531300	2020-02-06	5198	PRJDB7717	SAMD00153201
Mycobacterium noviomagense		strain: JCM 16367	459858	ASM1073163v1	GCF_010731635.1	RefSeq	GCF_010731635.1-RS_2024_12_13	Complete Genome	4779798	4779798	2020-02-06	4588	PRJDB7717	SAMD00153203
Mycobacterium paraseoulense		strain: JCM 16952	590652	ASM1073165v1	GCF_010731655.1	RefSeq	GCF_010731655.1-RS_2024_12_13	Complete Genome	6085955	6085955	2020-02-06	5768	PRJDB7717	SAMD00153204
Mycobacterium stomatepiae		strain: JCM 17783	470076	ASM1073171v1	GCF_010731715.1	RefSeq	GCF_010731715.1-RS_2024_12_13	Complete Genome	6210822	6210822	2020-02-06	5967	PRJDB7717	SAMD00153208
Mycobacterium mantenii		strain: JCM 18113	560555	ASM1073177v1	GCF_010731775.1	RefSeq	GCF_010731775.1-RS_2024_12_13	Complete Genome	6185541	6185541	2020-02-06	5811	PRJDB7717	SAMD00153211
Mycobacterium vicinigordonae		strain: 24	1719132	ASM1346642v1	GCF_013466425.1	RefSeq	GCF_013466425.1-RS_2024_05_05	Complete Genome	6266765	6266765	2020-07-22	5677	PRJNA646334	SAMN15540336
Mycobacterium heckeshornense		strain: JMUB5695	110505	ASM1686154v1	GCF_016861545.1	RefSeq	GCF_016861545.1-RS_2025_03_28	Complete Genome	4865109	4865109	2021-01-22	4680	PRJDB10860	SAMD00261041
Mycobacterium spongiae		strain: FSD4b-SM	886343	ASM1827890v1	GCF_018278905.1	RefSeq	GCF_018278905.1-RS_2024_05_06	Complete Genome	5581157	5581157	2021-05-05	4554	PRJNA573113	SAMN12776813
Mycobacterium malmoense		strain: ATCC 29571	1780	ASM1964585v1	GCF_019645855.1	RefSeq	GCF_019645855.1-RS_2024_06_24	Complete Genome	5319859	5319859	2021-08-17	4975	PRJNA747101	SAMN20254263
Mycobacterium intracellulare		strain: FDAARGOS_1564	1767	ASM2073600v1	GCF_020736005.1	RefSeq	GCF_020736005.1-RS_2024_12_09	Complete Genome	5621211	5645778	2021-11-03	5309	PRJNA231221	SAMN22091661
Mycobacterium ostraviense		strain: FDAARGOS_1613	2738409	ASM2118372v1	GCF_021183725.1	RefSeq	GCF_021183725.1-RS_2024_12_16	Complete Genome	6127734	6127734	2021-12-14	5684	PRJNA231221	SAMN23242882
Mycobacterium avium subsp. hominissuis		strain: OCU889s_P11_4s	439334	ASM2217558v2	GCF_022175585.2	RefSeq	GCF_022175585.2-RS_2024_07_13	Complete Genome	5173839	5173839	2024-05-08	4911	PRJNA345416	SAMN05862091
Mycobacterium lentiflavum		strain: ATCC 51985	141349	ASM2237489v2	GCF_022374895.2	RefSeq	GCF_022374895.2-RS_2024_06_24	Complete Genome	5901783	6163560	2022-08-24	5740	PRJNA747101	SAMN20254258
Mycobacterium paraterrae		strain: DSM 45127	577492	ASM2243054v2	GCF_022430545.2	RefSeq	GCF_022430545.2-RS_2024_06_24	Complete Genome	5522624	5522624	2022-09-07	5276	PRJNA747101	SAMN20254271
Candidatus Mycobacterium methanotrophicum		isolate: Sulfur Cave	2943498	ASM2351599v1	GCF_023515995.1	RefSeq	GCF_023515995.1-RS_2024_08_14	Complete Genome	4719641	5002371	2022-05-21	5257	PRJNA837300	SAMN28196450
Candidatus Mycobacterium wuenschmannii		isolate: wuenschmanii	3027808	ASM3025232v1	GCF_030252325.1	RefSeq	GCF_030252325.1-RS_2024_10_11	Complete Genome	5102433	5102433	2023-06-11	4936	PRJNA933575	SAMN33244890
Mycobacterium europaeum		strain: 050079	761804	ASM3455589v2	GCF_034555895.2	RefSeq	GCF_034555895.2-RS_2024_06_04	Complete Genome	5804834	6268691	2024-06-04	5858	PRJNA929715	SAMN38872439
Mycobacterium basiliense		isolate: 901379	2094119	MB901379	GCF_900292015.1	RefSeq	GCF_900292015.1-RS_2024_12_16	Complete Genome	5607630	5607630	2018-12-12	4815	PRJEB23647	SAMEA104628733
Mycobacterium riyadhense		isolate: human, strain: DSM 45176	486698	MriyDSM45176v1	GCF_963853645.1	RefSeq	GCF_963853645.1-RS_2024_04_10	Complete Genome	6155284	6635210	2024-04-11	5768	PRJEB70771	SAMEA114857888
