Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Burkholderia savannae		strain: MSMB266	1637837	ASM152444v2	GCF_001524445.2	RefSeq	GCF_001524445.2-RS_2024_10_22	Complete Genome	4228278	7427555	2016-09-02	6653	PRJNA279182	SAMN03449267
Burkholderia territorii		strain: RF8-non-BP5	1503055	ASM171833v1	GCF_001718335.1	RefSeq	GCF_001718335.1-RS_2025_03_05	Complete Genome	2466714	6902370	2016-09-02	6218	PRJNA279182	SAMN03449137
Burkholderia seminalis		strain: FL-5-4-10-S1-D7	488731	ASM171853v1	GCF_001718535.1	RefSeq	GCF_001718535.1-RS_2025_03_05	Complete Genome	3050136	7648944	2016-09-02	6969	PRJNA279182	SAMN03449243
Burkholderia metallica		strain: FL-6-5-30-S1-D7	488729	ASM171855v1	GCF_001718555.1	RefSeq	GCF_001718555.1-RS_2025_03_05	Complete Genome	2967116	7424240	2016-09-02	6699	PRJNA279182	SAMN03449247
Burkholderia singularis		strain: MSMB0175	1503053	ASM171887v1	GCF_001718875.1	RefSeq	GCF_001718875.1-RS_2024_04_21	Complete Genome	3663220	5705688	2016-09-02	4849	PRJNA279182	SAMN04196785
Burkholderia cenocepacia		strain: MSMB384WGS	95486	ASM171889v1	GCF_001718895.1	RefSeq	GCF_001718895.1-RS_2025_03_05	Complete Genome	3069864	7780598	2016-09-02	7113	PRJNA279182	SAMN03449602
Burkholderia ubonensis subsp. mesacidophila		strain: ATCC 31433	265293	ASM209771v1	GCF_002097715.1	RefSeq	GCF_002097715.1-RS_2024_12_11	Complete Genome	3308659	7840830	2017-04-18	7195	PRJNA381873	SAMN06690200
Burkholderia cepacia		strain: BC16	292	ASM958623v1	GCF_009586235.1	RefSeq	GCF_009586235.1-RS_2024_12_09	Complete Genome	3430130	8366868	2019-10-29	7637	PRJNA561256	SAMN12612766
Burkholderia gladioli		strain: BBB-01	28095	ASM1669870v1	GCF_016698705.1	RefSeq	GCF_016698705.1-RS_2024_12_11	Complete Genome	4180205	8201484	2021-01-19	7090	PRJNA691633	SAMN17301201
Burkholderia dolosa		strain: FDAARGOS_1463	152500	ASM1993078v1	GCF_019930785.1	RefSeq	GCF_019930785.1-RS_2024_11_06	Complete Genome	3410295	6195642	2021-09-12	5649	PRJNA231221	SAMN20888880
Burkholderia pseudomallei		strain: GTC3P0254T	28450	ASM3029725v1	GCF_030297255.1	RefSeq	GCF_030297255.1-RS_2024_06_21	Complete Genome	3937683	7081111	2023-05-16	6291	PRJDB15627	SAMD00592127
Burkholderia mallei		strain: ATCC 23344	13373	ASM3395606v1	GCF_033956065.1	RefSeq	GCF_033956065.1-RS_2024_11_29	Complete Genome	3510110	5834748	2023-11-27	5295	PRJNA954830	SAMN34156470
Burkholderia multivorans		strain: 2023CK-01339	87883	ASM3635203v1	GCF_036352035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3512161	6693153	2024-02-04	6127	PRJNA812595	SAMN38122035
Burkholderia arboris		strain: PN-1	488730	ASM3872365v1	GCF_038723655.1	RefSeq	GCF_038723655.1-RS_2024_05_03	Complete Genome	3471056	8478060	2024-05-03	7723	PRJNA891013	SAMN31305798
Burkholderia stagnalis		strain: YJ-2	1503054	ASM3984854v1	GCF_039848545.1	RefSeq	GCF_039848545.1-RS_2024_05_27	Complete Genome	3167812	7705355	2024-05-28	6929	PRJNA1111783	SAMN41098884
Burkholderia contaminans		strain: UnB1430	488447	ASM4021547v1	GCF_040215475.1	RefSeq	GCF_040215475.1-RS_2024_06_19	Complete Genome	3249807	8416198	2024-06-20	7602	PRJNA1120374	SAMN41688866
Burkholderia theae		strain: XITOU	3143496	ASM4856526v1	GCF_048565265.1	RefSeq	GCF_048565265.1-RS_2025_03_13	Complete Genome	3438352	8536486	2025-03-14	7756	PRJNA1231759	SAMN47220196
Burkholderia aenigmatica		strain: ST2120	2015348	ASM4862702v1	GCF_048627025.1	RefSeq	GCF_048627025.1-RS_2025_03_20	Complete Genome	3399615	8909914	2025-03-20	8331	PRJNA1233931	SAMN47284670
