Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Staphylococcus epidermidis		strain: ATCC 14990	1282	ASM609437v1	GCF_006094375.1	RefSeq	GCF_006094375.1-RS_2024_04_23	Complete Genome	2466502	2491058	2019-06-06	2368	PRJNA515334	SAMN10738425
Staphylococcus haemolyticus		strain: ATCC 29970	1283	ASM609439v1	GCF_006094395.1	RefSeq	GCF_006094395.1-RS_2024_05_17	Complete Genome	2517618	2572027	2019-06-06	2508	PRJNA515391	SAMN10754498
Staphylococcus chromogenes		strain: 17A	46126	ASM781452v1	GCF_007814525.1	RefSeq	GCF_007814525.1-RS_2024_04_27	Complete Genome	2351540	2394574	2019-08-01	2358	PRJNA482667	SAMN09714428
Staphylococcus agnetis		strain: 1379	985762	ASM1146685v1	GCF_011466855.1	RefSeq	GCF_011466855.1-RS_2025_03_29	Complete Genome	2449249	2449249	2020-03-19	2428	PRJNA553673	SAMN13231958
Staphylococcus lloydii		strain: 23_2_7_LY	2781774	ASM1577597v1	GCF_015775975.1	RefSeq	GCF_015775975.1-RS_2024_04_20	Complete Genome	2569383	2569383	2020-12-07	2573	PRJNA670403	SAMN16495139
Staphylococcus pseudintermedius		strain: FDAARGOS_930	283734	ASM1602663v1	GCF_016026635.1	RefSeq	GCF_016026635.1-RS_2025_04_06	Complete Genome	2562839	2562839	2020-12-14	2416	PRJNA231221	SAMN13450460
Staphylococcus carnosus		strain: FDAARGOS_883	1281	ASM1602827v1	GCF_016028275.1	RefSeq	GCF_016028275.1-RS_2024_12_13	Complete Genome	2571374	2571374	2020-12-14	2538	PRJNA231221	SAMN13450413
Staphylococcus auricularis		strain: FDAARGOS_882	29379	ASM1602829v1	GCF_016028295.1	RefSeq	GCF_016028295.1-RS_2024_12_13	Complete Genome	2216575	2216575	2020-12-14	2135	PRJNA231221	SAMN13450412
Staphylococcus equorum		strain: FDAARGOS_1068	246432	ASM1612745v1	GCF_016127455.1	RefSeq	GCF_016127455.1-RS_2024_12_13	Complete Genome	2739245	2772325	2020-12-20	2684	PRJNA231221	SAMN16357237
Staphylococcus saccharolyticus		strain: FDAARGOS_1074	33028	ASM1612771v1	GCF_016127715.1	RefSeq	GCF_016127715.1-RS_2024_04_21	Complete Genome	2346516	2346516	2020-12-20	2345	PRJNA231221	SAMN16357243
Staphylococcus pasteuri		strain: FDAARGOS_1069	45972	ASM1659979v1	GCF_016599795.1	RefSeq	GCF_016599795.1-RS_2024_05_05	Complete Genome	2476862	2484808	2021-01-11	2447	PRJNA231221	SAMN16357238
Staphylococcus ratti		strain: CCM 9025	2892440	ASM2088353v1	GCF_020883535.1	RefSeq	GCF_020883535.1-RS_2025_03_29	Complete Genome	2317571	2323337	2021-11-18	2287	PRJNA779216	SAMN22456156
Staphylococcus schleiferi		strain: IVB6183	1295	ASM2555832v1	GCF_025558325.1	RefSeq	GCF_025558325.1-RS_2025_03_28	Complete Genome	2520325	2520325	2022-10-04	2418	PRJNA819273	SAMN26923376
Staphylococcus delphini		strain: IVB6190	53344	ASM2555882v1	GCF_025558825.1	RefSeq	GCF_025558825.1-RS_2024_10_23	Complete Genome	2616750	2616750	2022-10-04	2510	PRJNA819273	SAMN26923353
Staphylococcus ureilyticus		strain: IVB6236	94138	ASM2555884v1	GCF_025558845.1	RefSeq	GCF_025558845.1-RS_2024_08_04	Complete Genome	2677037	2677037	2022-10-04	2655	PRJNA819273	SAMN26923352
Staphylococcus arlettae		strain: IVB6235	29378	ASM2556084v1	GCF_025560845.1	RefSeq	GCF_025560845.1-RS_2024_12_22	Complete Genome	2649228	2706864	2022-10-04	2670	PRJNA819273	SAMN26923316
Staphylococcus simulans		strain: IVB6189	1286	ASM2556146v1	GCF_025561465.1	RefSeq	GCF_025561465.1-RS_2024_10_23	Complete Genome	2626360	2682239	2022-10-04	2572	PRJNA819273	SAMN26923381
Staphylococcus succinus		strain: DSM 14617	61015	ASM2902494v1	GCF_029024945.1	RefSeq	GCF_029024945.1-RS_2025_03_28	Complete Genome	2757983	2831135	2023-03-08	2742	PRJNA936091	SAMN33336508
Staphylococcus gallinarum		strain: STP534	1293	ASM2977425v1	GCF_029774255.1	RefSeq	GCF_029774255.1-RS_2024_04_16	Complete Genome	2896210	2942339	2023-04-17	2797	PRJNA694570	SAMN17527673
Staphylococcus casei		strain: DSM 15096	201828	ASM3029440v1	GCF_030294405.1	RefSeq	GCF_030294405.1-RS_2024_06_20	Complete Genome	2808898	2913362	2023-06-20	2821	PRJNA971866	SAMN35056232
Staphylococcus rostri		strain: PJFA-333	522262	ASM3129746v1	GCF_031297465.1	RefSeq	GCF_031297465.1-RS_2024_09_08	Complete Genome	2337213	2390967	2023-09-08	2350	PRJNA669471	SAMN31844024
Staphylococcus hsinchuensis		strain: H164	3051183	ASM3878920v1	GCF_038789205.1	RefSeq	GCF_038789205.1-RS_2024_05_01	Complete Genome	2196954	2278600	2024-05-01	2280	PRJNA979948	SAMN35616942
Staphylococcus capitis subsp. urealyticus		strain: DSM 6717	74703	DSM6717	GCF_040739365.1	RefSeq	GCF_040739365.1-RS_2024_07_17	Complete Genome	2465028	2497742	2024-07-18	2450	PRJNA1032276	SAMN38029074
Staphylococcus massiliensis		strain: WGS1515	555791	ASM4318631v1	GCF_043186315.1	RefSeq	GCF_043186315.1-RS_2024_10_16	Complete Genome	2406514	2422153	2024-10-17	2323	PRJNA1166744	SAMN43971755
Staphylococcus pseudoxylosus		strain: SLM-183	2282419	ASM4479432v1	GCF_044794325.1	RefSeq	GCF_044794325.1-RS_2024_11_13	Complete Genome	2891898	2940356	2024-11-20	2798	PRJNA682484	SAMN22138144
Staphylococcus piscifermentans		strain: NCTC13836	70258	50377_C01	GCF_900186985.1	RefSeq	GCF_900186985.1-RS_2024_12_13	Complete Genome	2613271	2613271	2017-08-15	2483	PRJEB6403	SAMEA4384060
Staphylococcus muscae		strain: NCTC13833	1294	50569_B01	GCF_900187005.1	RefSeq	GCF_900187005.1-RS_2024_12_13	Complete Genome	2095116	2095116	2017-08-15	2085	PRJEB6403	SAMEA4412661
Staphylococcus simiae		strain: NCTC13838	308354	50377_D01	GCF_900187055.1	RefSeq	GCF_900187055.1-RS_2024_12_13	Complete Genome	2643976	2643976	2017-08-15	2481	PRJEB6403	SAMEA4384339
Staphylococcus schweitzeri		strain: NCTC13712	1654388	43874_A01	GCF_900636685.1	RefSeq	GCF_900636685.1-RS_2024_12_13	Complete Genome	2784939	2784939	2018-12-20	2690	PRJEB6403	SAMEA3724095
Staphylococcus condimenti		strain: NCTC13827	70255	50305_D01	GCF_900637235.1	RefSeq	GCF_900637235.1-RS_2024_12_13	Complete Genome	2650496	2650496	2018-12-20	2583	PRJEB6403	SAMEA4384234
