Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Clostridium taeniosporum		strain: 1/k	394958	ASM173576v2	GCF_001735765.2	RefSeq	GCF_001735765.2-RS_2025_03_28	Complete Genome	3264813	3503506	2018-01-11	3237	PRJNA339855	SAMN05608059
Clostridium pasteurianum DSM 525 = ATCC 6013		strain: ATCC 6013	1262449	ASM185664v1	GCF_001856645.1	RefSeq	GCF_001856645.1-RS_2025_03_05	Complete Genome	4352852	4352852	2016-10-31	4129	PRJNA299496	SAMN04208873
Clostridium baratii		strain: CDC51267	1561	ASM199107v2	GCF_001991075.2	RefSeq	GCF_001991075.2-RS_2025_03_05	Complete Genome	3091050	3211717	2018-05-01	3117	PRJNA301987	SAMN04262349
Clostridium felsineum DSM 794		strain: DSM 794	1121310	ASM200635v2	GCF_002006355.2	RefSeq	GCF_002006355.2-RS_2024_06_13	Complete Genome	4885251	5242194	2022-06-10	4857	PRJNA322790	SAMN05170511
Clostridium argentinense		strain: 89G	29341	ASM207415v1	GCF_002074155.1	RefSeq	GCF_002074155.1-RS_2025_03_05	Complete Genome	4662988	4803058	2017-03-29	4446	PRJNA302051	SAMN04263500
Clostridium formicaceticum		strain: DSM 92	1497	ASM208047v1	GCF_002080475.1	RefSeq	GCF_002080475.1-RS_2024_04_12	Complete Genome	4586728	4586728	2017-04-06	4354	PRJNA380994	SAMN06660676
Clostridium isatidis		strain: DSM 15098	182773	ASM228549v1	GCF_002285495.1	RefSeq	GCF_002285495.1-RS_2025_03_05	Complete Genome	2869927	2869927	2017-09-05	2787	PRJNA335982	SAMN05468136
Clostridium chauvoei		strain: 12S0467	46867	ASM232720v1	GCF_002327205.1	RefSeq	GCF_002327205.1-RS_2025_03_29	Complete Genome	2885628	2889569	2017-09-21	2747	PRJNA356831	SAMN06127795
Clostridium thermosuccinogenes		strain: DSM 5807	84032	ASM289685v1	GCF_002896855.1	RefSeq	GCF_002896855.1-RS_2024_04_08	Complete Genome	4731216	4731216	2018-01-24	4107	PRJNA388583	SAMN07200985
Clostridium drakei		strain: SL1	332101	ASM309617v1	GCF_003096175.1	RefSeq	GCF_003096175.1-RS_2024_04_12	Complete Genome	5695241	5695241	2018-05-07	5171	PRJNA384321	SAMN06834810
Clostridium fermenticellae		strain: JN500901	2068654	ASM360035v1	GCF_003600355.1	RefSeq	GCF_003600355.1-RS_2024_04_14	Complete Genome	2819963	2819963	2018-09-26	2646	PRJNA491254	SAMN10068289
Clostridium septicum		strain: DSM 7534	1504	ASM360626v1	GCF_003606265.1	RefSeq	GCF_003606265.1-RS_2024_04_14	Complete Genome	3399422	3404718	2018-10-01	3242	PRJNA412368	SAMN07710202
Clostridium novyi		strain: 150557	1542	ASM361423v1	GCF_003614235.1	RefSeq	GCF_003614235.1-RS_2025_03_28	Complete Genome	2296219	2499078	2018-10-04	2431	PRJNA460203	SAMN09062437
Clostridium manihotivorum		strain: CT4	2320868	ASM401518v1	GCF_004015185.1	RefSeq	GCF_004015185.1-RS_2025_03_28	Complete Genome	6364326	6364326	2019-01-14	5733	PRJNA429079	SAMN08328878
Clostridium thermarum		strain: SYSU GA15002	1716543	ASM635192v1	GCF_006351925.1	RefSeq	GCF_006351925.1-RS_2024_04_14	Complete Genome	3805212	3805212	2019-06-17	3611	PRJNA547469	SAMN11964582
Clostridium diolis		strain: DSM 15410	223919	ASM870517v1	GCF_008705175.1	RefSeq	GCF_008705175.1-RS_2025_03_28	Complete Genome	5940808	5940808	2019-09-24	5296	PRJNA565754	SAMN12767048
[Clostridium] innocuum		strain: ATCC 14501	1522	ASM1231718v1	GCF_012317185.1	RefSeq	GCF_012317185.1-RS_2025_02_23	Complete Genome	4718906	4718906	2020-04-15	4626	PRJNA606345	SAMN14089795
Clostridium butyricum		strain: DSM 10702	1492	ASM1413179v1	GCF_014131795.1	RefSeq	GCF_014131795.1-RS_2024_04_15	Complete Genome	3921278	4705596	2020-08-10	4338	PRJNA544389	SAMN11835364
Clostridium perfringens		strain: FDAARGOS_903	1502	ASM1602737v1	GCF_016027375.1	RefSeq	GCF_016027375.1-RS_2024_10_16	Complete Genome	3300922	3355233	2020-12-14	3062	PRJNA231221	SAMN13450433
Clostridium gasigenes		strain: CGAS001	94869	ASM1734889v1	GCF_017348895.1	RefSeq	GCF_017348895.1-RS_2024_04_27	Complete Genome	4110498	4132257	2021-03-13	3888	PRJNA656431	SAMN14501574
Clostridium beijerinckii		strain: DSM 791	1520	ASM1822374v1	GCF_018223745.1	RefSeq	GCF_018223745.1-RS_2025_03_17	Complete Genome	5876902	5950247	2021-05-02	5343	PRJNA724001	SAMN18839070
Clostridium gelidum		strain: C5S11	704125	ASM1997765v1	GCF_019977655.1	RefSeq	GCF_019977655.1-RS_2024_11_20	Complete Genome	6041432	6041432	2021-07-31	5592	PRJDB11893	SAMD00388684
Clostridium cadaveris		strain: IFB3C5	1529	ASM2091172v1	GCF_020911725.1	RefSeq	GCF_020911725.1-RS_2024_12_09	Complete Genome	3619347	3625784	2021-11-22	3539	PRJNA549513	SAMN19659030
Clostridium tagluense		strain: CM022	360422	ASM2665094v1	GCF_026650945.1	RefSeq	GCF_026650945.1-RS_2024_12_09	Complete Genome	5029099	5450588	2022-12-05	5136	PRJNA735695	SAMN22045405
Clostridium estertheticum		strain: CF001	238834	ASM3058546v1	GCF_030585465.1	RefSeq	GCF_030585465.1-RS_2024_08_08	Complete Genome	4678732	4942908	2023-08-02	4753	PRJNA735695	SAMN19800468
Clostridium intestinale		strain: PC17	36845	ASM3590547v1	GCF_035905475.1	RefSeq	GCF_035905475.1-RS_2025_03_17	Complete Genome	4686421	4686421	2024-01-19	4713	PRJNA934396	SAMN33929498
Clostridium cochlearium		strain: NCTC13027	1494	52121_G02	GCF_900187165.1	RefSeq	GCF_900187165.1-RS_2025_04_01	Complete Genome	2435419	2435419	2017-08-15	2448	PRJEB6403	SAMEA4530647
