Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Actinomyces naeslundii		strain: FDAARGOS_1037	1655	ASM1612785v1	GCF_016127855.1	RefSeq	GCF_016127855.1-RS_2024_12_13	Complete Genome	3152123	3152123	2020-12-20	2670	PRJNA231221	SAMN16357206
Actinomyces oris		strain: FDAARGOS_1051	544580	ASM1612795v1	GCF_016127955.1	RefSeq	GCF_016127955.1-RS_2024_12_13	Complete Genome	3184721	3190396	2020-12-20	2675	PRJNA231221	SAMN16357220
Actinomyces weissii		strain: CCUG 61299	675090	ASM1659877v1	GCF_016598775.1	RefSeq	GCF_016598775.1-RS_2024_12_09	Complete Genome	2564181	2564181	2021-01-10	2051	PRJNA688114	SAMN17169352
Actinomyces sp. HMT897		strain: HMT897	2789424	ASM1662612v1	GCF_016626125.1	RefSeq	GCF_016626125.1-RS_2024_06_05	Complete Genome	3281265	3281265	2021-01-13	2538	PRJNA676127	SAMN16756448
Actinomyces sp. HMT 175		strain: HMT 175	2789425	ASM1669489v1	GCF_016694895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3024208	3024208	2021-01-19	2510	PRJNA676127	SAMN16756449
Actinomyces capricornis		strain: MAS-1	2755559	ASM1997413v1	GCF_019974135.1	RefSeq	GCF_019974135.1-RS_2024_09_02	Complete Genome	3170963	3170963	2021-08-20	2601	PRJDB12084	SAMD00394826
Actinomyces oris K20		strain: K20	871541	ASM2316992v1	GCF_023169925.1	RefSeq	GCF_023169925.1-RS_2024_06_08	Complete Genome	3119201	3119201	2022-03-03	2606	PRJDB13022	SAMD00442649
Actinomyces oris		strain: WVU627	544580	ASM2794547v1	GCF_027945475.1	RefSeq	GCF_027945475.1-RS_2025_02_24	Complete Genome	2687971	3103474	2023-01-24	2585	PRJNA922958	SAMN32678409
Actinomyces israelii		strain: F0345	1659	ASM3025349v1	GCF_030253495.1	RefSeq	GCF_030253495.1-RS_2024_11_20	Complete Genome	3980311	3980311	2023-06-12	3343	PRJNA957798	SAMN34266293
Actinomyces massiliensis		strain: F0489	461393	ASM3064418v1	GCF_030644185.1	RefSeq	GCF_030644185.1-RS_2024_08_08	Complete Genome	3476513	3476513	2023-08-04	2975	PRJNA282954	SAMN35884266
Actinomyces urogenitalis		strain: UMB10319	103621	ASM3310682v1	GCF_033106825.1	RefSeq	GCF_033106825.1-RS_2024_11_06	Complete Genome	2652994	2652994	2023-10-30	2264	PRJNA316969	SAMN34998651
Actinomyces pacaensis		strain: Marseille-P2985T	1852377	PRJEB17949	GCF_900120245.1	RefSeq	GCF_900120245.1-RS_2024_12_13	Complete Genome	1892549	1892549	2016-11-22	1681	PRJEB17949	SAMEA4555081
Actinomyces howellii		strain: NCTC11636	52771	49699_G02	GCF_900637165.1	RefSeq	GCF_900637165.1-RS_2024_12_13	Complete Genome	3148934	3148934	2018-12-20	2640	PRJEB6403	SAMEA44526418
Actinomyces slackii		strain: NCTC11923	52774	50477_G01	GCF_900637295.1	RefSeq	GCF_900637295.1-RS_2024_12_13	Complete Genome	3220508	3220508	2018-12-20	2683	PRJEB6403	SAMEA4412657
Actinomyces viscosus		strain: NCTC10951	1656	53550_F01	GCF_900637975.1	RefSeq	GCF_900637975.1-RS_2024_12_13	Complete Genome	3491241	3491241	2018-12-20	2964	PRJEB6403	SAMEA101153668
