Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Streptococcus pasteurianus		strain: WUSP067	197614	ASM484354v1	GCF_004843545.1	RefSeq	GCF_004843545.1-RS_2024_12_09	Complete Genome	2149841	2149841	2019-04-24	2201	PRJNA533013	SAMN11431855
Streptococcus ratti		strain: ATCC 31377	1341	ASM880301v1	GCF_008803015.1	RefSeq	GCF_008803015.1-RS_2024_11_18	Complete Genome	2096943	2096943	2019-10-02	2078	PRJNA562290	SAMN12637401
Streptococcus ruminicola		strain: CNU_G2	2686210	ASM1138719v1	GCF_011387195.1	RefSeq	GCF_011387195.1-RS_2025_03_28	Complete Genome	1960491	2046950	2020-03-17	2058	PRJNA595076	SAMN13545685
Streptococcus gallolyticus		strain: FDAARGOS_755	315405	ASM1326769v1	GCF_013267695.1	RefSeq	GCF_013267695.1-RS_2025_03_28	Complete Genome	2258003	2258003	2020-06-04	2267	PRJNA231221	SAMN11056470
Streptococcus equi subsp. zooepidemicus		strain: SEZ13	40041	ASM1568939v1	GCF_015689395.1	RefSeq	GCF_015689395.1-RS_2024_05_17	Complete Genome	2150055	2154778	2020-11-25	2059	PRJNA673199	SAMN16565168
Streptococcus infantarius		strain: FDAARGOS_1019	102684	ASM1612727v1	GCF_016127275.1	RefSeq	GCF_016127275.1-RS_2024_12_13	Complete Genome	1958742	1958742	2020-12-20	2022	PRJNA231221	SAMN16357188
Streptococcus dysgalactiae		strain: FDAARGOS_1017	1334	ASM1612809v1	GCF_016128095.1	RefSeq	GCF_016128095.1-RS_2024_05_06	Complete Genome	2170156	2174327	2020-12-20	2169	PRJNA231221	SAMN16357186
Streptococcus constellatus		strain: FDAARGOS_1156	76860	ASM1672500v1	GCF_016725005.1	RefSeq	GCF_016725005.1-RS_2024_12_11	Complete Genome	1903262	1903262	2021-01-20	1898	PRJNA231221	SAMN16357325
Streptococcus zhangguiae		strain: zg-86	2664091	ASM1763985v1	GCF_017639855.1	RefSeq	GCF_017639855.1-RS_2024_12_01	Complete Genome	2092558	2092558	2021-03-30	1960	PRJNA715958	SAMN18389315
Streptococcus lactarius		strain: CCUG 66490	684066	ASM1812772v1	GCF_018127725.1	RefSeq	GCF_018127725.1-RS_2025_03_29	Complete Genome	2144372	2144372	2021-04-22	2073	PRJNA282954	SAMN18352172
Streptococcus oriscaviae		strain: HKU75	2781599	ASM1813798v1	GCF_018137985.1	RefSeq	GCF_018137985.1-RS_2024_05_17	Complete Genome	2197335	2197335	2021-04-24	2207	PRJNA670809	SAMN16520759
Streptococcus gordonii		strain: FDAARGOS 1454	1302	ASM1904694v1	GCF_019046945.1	RefSeq	GCF_019046945.1-RS_2024_07_20	Complete Genome	2187618	2187618	2021-06-28	2127	PRJNA231221	SAMN16357596
Streptococcus mutans		strain: FDAARGOS 1458	1309	ASM1904864v1	GCF_019048645.1	RefSeq	GCF_019048645.1-RS_2024_07_20	Complete Genome	2019345	2019345	2021-06-28	2009	PRJNA231221	SAMN16357600
Streptococcus halichoeri		strain: Shali_VAS-CPH	254785	ASM1977463v1	GCF_019774635.1	RefSeq	GCF_019774635.1-RS_2024_12_11	Complete Genome	2026498	2026498	2021-08-26	1894	PRJNA755893	SAMN20846014
Streptococcus parasuis		strain: SUT-286	1501662	ASM2165445v1	GCF_021654455.1	RefSeq	GCF_021654455.1-RS_2025_03_13	Complete Genome	2197342	2197342	2021-12-28	2209	PRJDB10858	SAMD00265706
Streptococcus toyakuensis		strain: TP1632	2819619	ASM2434658v1	GCF_024346585.1	RefSeq	GCF_024346585.1-RS_2025_03_16	Complete Genome	2055023	2055023	2022-04-27	2045	PRJDB11368	SAMD00286438
Streptococcus macedonicus		strain: SGM CIP105683	59310	ASM2986692v1	GCF_029866925.1	RefSeq	GCF_029866925.1-RS_2024_04_24	Complete Genome	2210410	2223139	2023-04-25	2325	PRJNA940176	SAMN33554929
Streptococcus suivaginalis		strain: 29896	3028082	ASM3259491v1	GCF_032594915.1	RefSeq	GCF_032594915.1-RS_2025_01_26	Complete Genome	2133007	2133007	2023-10-12	1974	PRJNA934398	SAMN13975611
Streptococcus iners		strain: 29887	3028084	ASM3259507v1	GCF_032595075.1	RefSeq	GCF_032595075.1-RS_2025_01_26	Complete Genome	2304690	2315477	2023-10-12	2259	PRJNA934401	SAMN13975613
Streptococcus lingualis		strain: S5	3098076	ASM3413480v1	GCF_034134805.1	RefSeq	GCF_034134805.1-RS_2024_12_02	Complete Genome	2111933	2111933	2023-12-06	2054	PRJNA1044536	SAMN38395317
Streptococcus dentalis		strain: S1	3098075	ASM3413768v1	GCF_034137685.1	RefSeq	GCF_034137685.1-RS_2024_12_02	Complete Genome	1973130	1973130	2023-12-06	1945	PRJNA1044529	SAMN38395249
Streptococcus parapneumoniae		strain: SP4011	2993430	ASM3707635v1	GCF_037076355.1	RefSeq	GCF_037076355.1-RS_2025_03_16	Complete Genome	2327012	2327012	2024-04-05	2278	PRJDB14716	SAMD00554964
Streptococcus hillyeri		strain: S23-3001-2	2282420	ASM4108156v1	GCF_041081565.1	RefSeq	GCF_041081565.1-RS_2024_08_07	Complete Genome	2227898	2227898	2024-08-08	2207	PRJNA1140127	SAMN42810075
Streptococcus nidrosiense		strain: SO-23-1	3140788	ASM4214004v1	GCF_042140045.1	RefSeq	GCF_042140045.1-RS_2024_11_20	Complete Genome	2018446	2018446	2024-09-25	1933	PRJNA1101760	SAMN41003020
Streptococcus merionis		strain: NCTC13788	400065	50624_E01	GCF_900187085.1	RefSeq	GCF_900187085.1-RS_2024_12_13	Complete Genome	2384128	2384128	2017-08-15	2228	PRJEB6403	SAMEA4412692
Streptococcus ferus		strain: NCTC12278	1345	41906_G01	GCF_900475025.1	RefSeq	GCF_900475025.1-RS_2024_12_13	Complete Genome	1872314	1872314	2018-06-17	1912	PRJEB6403	SAMEA3572443
Streptococcus pyogenes		strain: NCTC12064	1314	41965_F01	GCF_900475035.1	RefSeq	GCF_900475035.1-RS_2024_12_13	Complete Genome	1746380	1746380	2018-06-17	1737	PRJEB6403	SAMEA3594357
Streptococcus porcinus		strain: NCTC10999	1340	42206_H01	GCF_900475415.1	RefSeq	GCF_900475415.1-RS_2024_10_23	Complete Genome	2033046	2033046	2018-06-17	2028	PRJEB6403	SAMEA3632063
Streptococcus cristatus ATCC 51100		strain: NCTC 12479	889201	42727_F01	GCF_900475445.1	RefSeq	GCF_900475445.1-RS_2024_12_13	Complete Genome	2000351	2000351	2018-06-17	1965	PRJEB6403	SAMEA3649037
Streptococcus sanguinis		strain: NCTC7863	1305	42925_G01	GCF_900475505.1	RefSeq	GCF_900475505.1-RS_2024_12_22	Complete Genome	2296927	2296927	2018-06-17	2254	PRJEB6403	SAMEA3672886
Streptococcus uberis		strain: NCTC3858	1349	44343_G01	GCF_900475595.1	RefSeq	GCF_900475595.1-RS_2024_12_13	Complete Genome	1975601	1975601	2018-06-17	1993	PRJEB6403	SAMEA3871780
Streptococcus lutetiensis		strain: NCTC13774	150055	45473_D02	GCF_900475675.1	RefSeq	GCF_900475675.1-RS_2024_12_09	Complete Genome	1793521	1793521	2018-06-17	1828	PRJEB6403	SAMEA3905384
Streptococcus intermedius		strain: NCTC11324	1338	46931_F01	GCF_900475975.1	RefSeq	GCF_900475975.1-RS_2024_12_13	Complete Genome	1932951	1932951	2018-06-17	1923	PRJEB6403	SAMEA4012327
Streptococcus australis		strain: NCTC13166	113107	53750_F01	GCF_900476055.1	RefSeq	GCF_900476055.1-RS_2024_12_11	Complete Genome	2161464	2161464	2018-06-17	2066	PRJEB6403	SAMEA103899862
Streptococcus vestibularis		strain: NCTC12167	1343	41965_G01	GCF_900636445.1	RefSeq	GCF_900636445.1-RS_2024_12_11	Complete Genome	1950305	1950305	2018-12-20	1953	PRJEB6403	SAMEA3594358
Streptococcus anginosus		strain: NCTC10713	1328	42197_F01	GCF_900636475.1	RefSeq	GCF_900636475.1-RS_2024_12_13	Complete Genome	1953654	1953654	2018-12-20	1931	PRJEB6403	SAMEA3614267
Streptococcus canis		strain: NCTC12191	1329	42912_C01	GCF_900636575.1	RefSeq	GCF_900636575.1-RS_2024_12_13	Complete Genome	2084744	2084744	2018-12-20	2067	PRJEB6403	SAMEA3662933
Streptococcus urinalis		strain: NCTC13766	149016	44927_H01	GCF_900636885.1	RefSeq	GCF_900636885.1-RS_2024_12_13	Complete Genome	2144000	2144000	2018-12-20	2241	PRJEB6403	SAMEA3881064
Streptococcus oralis ATCC 35037		strain: NCTC 11427	655813	46338_H01	GCF_900637025.1	RefSeq	GCF_900637025.1-RS_2025_03_16	Complete Genome	1931548	1931548	2018-12-20	1871	PRJEB6403	SAMEA3936797
Streptococcus pseudoporcinus		strain: NCTC13786	361101	48128_D02	GCF_900637075.1	RefSeq	GCF_900637075.1-RS_2024_12_13	Complete Genome	2156061	2156061	2018-12-20	2097	PRJEB6403	SAMEA4030748
Streptococcus thermophilus		isolate: STH_CIRM_65	1308	Streptococcus_thermophilus_CIRM_65	GCF_903886475.1	RefSeq	GCF_903886475.1-RS_2024_12_11	Complete Genome	1788289	1791634	2020-07-10	1857	PRJEB36851	SAMEA6957296
